p,a_p(11.2.a.a),a_p(143.2.a.a),Tr_a_p(143.2.a.b),Tr_a_p(143.2.a.c),H1_trace
2,-2,0,3,0,-1
3,-1,-1,0,3,0
5,1,-1,0,1,2
7,-2,-2,6,4,4
11,1,-1,4,-6,-1
13,4,-1,-4,6,9
17,-2,-4,6,0,-2
19,0,2,8,-10,0
23,-1,7,-4,11,12
29,0,-2,-10,2,-10
31,7,-3,2,-9,4
37,3,-11,12,15,22
41,-8,10,8,-4,-2
43,-6,-4,26,-2,8
47,8,-4,-18,6,0
53,-6,2,-6,2,-14
59,5,-1,-16,11,4
61,12,-2,-12,16,26
67,-7,-1,2,9,-4
71,-3,-9,-14,-15,-44
73,4,-16,22,32,46
79,-10,8,-10,14,-8
83,-6,0,-2,-26,-40
89,15,-7,10,-23,10
97,-7,-13,22,27,22
101,2,18,-18,18,22
103,-16,8,-8,-16,-48
107,18,8,2,-34,12
109,10,4,6,-12,18
113,9,1,-18,49,50
127,8,-8,-2,10,16
131,-18,18,-16,-30,-64
137,-7,-17,-4,17,-18
139,10,18,-28,6,16
149,-10,14,12,-20,-14
151,2,4,0,-16,-8
157,-7,5,-22,21,-10
163,4,-4,-2,30,32
167,-12,4,0,-24,-44
173,-6,-8,-18,24,-14
179,-15,-15,12,9,-24
181,7,7,-54,23,-10
191,17,-15,12,-3,28
193,4,-24,44,66,94
197,-2,-10,2,6,-6
199,0,-4,-32,28,-8
211,12,-24,6,6,12
223,19,5,28,-27,44
227,18,0,68,-24,80
229,15,9,-12,-29,-2
233,24,-16,44,-10,66
239,-30,-30,-8,-18,-116
241,-8,-10,36,-12,-2
251,-23,21,32,25,32
257,-2,18,22,-14,22
263,14,-18,30,-52,-12
269,10,-30,-66,6,-70
271,-28,28,44,4,20
277,-2,26,16,60,98
281,-18,18,-14,14,-18
283,4,-30,-12,-42,-76
293,24,14,-24,-24,14
307,8,0,-16,-20,-20
311,12,8,-40,40,32
313,-1,3,6,75,82
317,13,-1,34,-65,-6
331,7,-11,-10,-21,-28
337,-22,-20,30,76,42
347,28,18,46,-40,80
349,30,16,-24,-2,50
353,-21,-15,4,39,-14
359,-20,22,-2,24,4
367,-17,3,56,-61,-36
373,-26,26,-6,18,-14
379,-5,-11,0,-63,-84
383,-1,-19,10,-29,-40
389,-15,9,38,-43,-26
397,-2,-18,38,-34,-18
401,2,-18,-46,2,-58
409,-30,-18,16,0,-62
419,20,-28,-64,-8,-60
421,22,-22,-26,2,-2
431,-18,-40,50,78,52
433,-11,33,6,97,114
439,40,6,28,-82,32
443,-11,-23,-44,49,-40
449,35,21,50,-79,62
457,-12,-16,38,80,78
461,12,10,-38,-34,-38
463,-11,-9,6,33,8
467,-27,-23,12,89,24
479,20,36,-12,40,104
487,23,25,40,-51,60
491,-8,12,42,-42,-4
499,20,28,-28,56,96
503,-26,30,22,52,52
509,15,9,-56,-117,-134
521,-3,5,-14,-15,-30
523,-16,-14,46,-80,-80
541,-8,-30,28,-36,-54
547,8,8,-14,-34,-24
557,-2,12,-24,2,-14
563,4,18,64,18,108
569,0,-32,-78,-72,-182
571,-28,40,24,8,16
577,33,31,30,79,206
587,28,-12,-68,-12,-36
593,44,24,-36,98,174
599,40,24,12,4,120
601,2,-22,-66,90,6
607,-22,-22,12,38,-16
613,-16,-2,42,-54,-46
617,18,42,-18,74,134
619,-25,-7,16,-79,-120
631,7,-27,-56,-15,-84
641,-33,-33,-30,-21,-150
643,29,-49,12,-81,-60
647,-7,-15,-88,25,-92
653,-41,-13,20,21,-54
659,10,-44,52,-12,16
661,37,31,18,-73,50
673,14,4,130,56,218
677,-42,6,56,-60,-82
683,-16,-4,-4,8,-32
691,17,-45,44,23,56
701,2,-10,52,-52,-6
709,-25,-35,58,-11,-38
719,15,-41,56,55,100
727,3,19,-72,43,-4
733,-36,-46,-56,40,-134
739,50,-2,-98,48,48
743,4,42,36,42,128
751,-23,-39,-24,9,-100
757,-22,30,2,94,82
761,12,-34,-20,-92,-122
769,20,0,-20,18,38
773,-6,30,-2,46,62
787,-32,12,-34,-18,-104
797,53,17,-20,115,218
809,0,24,-8,22,38
811,-38,-36,-38,-50,-200
821,22,0,-28,22,38
823,39,-29,-80,83,52
827,-52,50,48,-66,-72
829,25,29,-42,1,38
839,-5,53,-36,-31,-24
853,14,-50,66,14,58
857,8,-32,-46,-20,-82
859,-15,13,-112,-47,-176
863,24,48,18,74,188
877,-12,38,70,70,154
881,-43,33,110,65,122
883,4,28,-40,64,60
887,-22,12,-66,-74,-172
907,-12,52,32,0,60
911,12,-8,-40,136,112
919,10,40,-48,-28,-16
929,-30,-42,-98,30,-170
937,8,-12,84,-58,30
941,42,-36,18,-48,18
947,-27,-9,54,113,104
953,34,-30,-54,62,46
967,-32,28,-80,-16,-132
971,47,-49,52,95,192
977,-27,-9,-40,1,-102
983,39,-31,-64,-3,-20
991,-8,32,44,-4,56
997,38,-18,-40,88,106
